Step,Instance,Optimal,Population,Generations,Mutation Type,Crossover Type,Best,Worst,Avg,Std
Step 1,A-n32-k5.vrp,784.0,30,5000,swap,OX,1135.016810134156,1389.550826007018,1226.1186048099275,69.666159837512
Step 1,A-n32-k5.vrp,784.0,50,5000,swap,OX,1014.080129720551,1248.8355697015922,1161.824963879281,84.57724857894976
Step 1,A-n32-k5.vrp,784.0,100,5000,swap,OX,959.515970913048,1250.2645287772336,1089.1884011793322,93.76533173904173
Step 2,A-n32-k5.vrp,784.0,100,5000,swap,OX,960.128814761662,1189.9564076257618,1092.0594924356758,75.25776555837311
Step 2,A-n32-k5.vrp,784.0,100,5000,inversion,OX,982.2876348917729,1334.8759076899498,1140.8669023413215,139.04166654150902
Step 3,A-n32-k5.vrp,784.0,100,5000,swap,OX,992.8460387424402,1265.3437187481866,1131.804493605286,85.19689753543133
Step 3,A-n32-k5.vrp,784.0,100,5000,swap,PMX,960.3790337502544,1157.6265557842507,1086.5752045264774,56.075324853258586
Step 1,A-n60-k9.vrp,1354.0,30,5000,swap,OX,2371.359570471603,2563.744425957746,2438.254133532727,57.29682517541171
Step 1,A-n60-k9.vrp,1354.0,50,5000,swap,OX,2126.8087751318917,2486.6540583772426,2290.2745692199346,105.18505900505971
Step 1,A-n60-k9.vrp,1354.0,100,5000,swap,OX,2144.7360686508005,2656.970550435699,2414.4542850970843,139.60584133415
Step 2,A-n60-k9.vrp,1354.0,50,5000,swap,OX,2195.951193206159,2392.9461780946685,2280.8182016036653,65.95168432054032
Step 2,A-n60-k9.vrp,1354.0,50,5000,inversion,OX,2142.9040608954547,2511.939648881059,2321.525914099944,100.22265251861442
Step 3,A-n60-k9.vrp,1354.0,50,5000,swap,OX,2137.072758871342,2587.9587420914063,2329.689013394223,139.39621836608683
Step 3,A-n60-k9.vrp,1354.0,50,5000,swap,PMX,2190.6863690263212,2565.8980843640866,2381.4293288861395,108.9837363335656
